Share Name,Value,Datetime,Currency,Index
TSLA, $335.16, Closed: Aug 18, 4:22:19 PM UTC-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:23:40 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:24:35 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:25:08 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:25:47 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:27:31 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:27:31 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:28:56 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:28:56 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:32:10 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:32:26 PM GMT-4, USD, NASDAQ
TSLA, $335.16, Closed: Aug 18, 4:33:29 PM GMT-4, USD, NASDAQ
